ticker,price_date,close_price
JNJ,2017-04-03,123.09
JPM,2017-04-03,86.041
KO,2017-04-03,41.732
MSFT,2017-04-03,64.831
XOM,2017-04-03,79.784
AAPL,2017-04-04,143.1
JNJ,2017-04-04,123.08
JPM,2017-04-04,86.327
KO,2017-04-04,41.998
MSFT,2017-04-04,65.009
XOM,2017-04-04,80.075
AAPL,2017-04-05,142.36
JNJ,2017-04-05,123.2
JPM,2017-04-05,85.221
KO,2017-04-05,41.89
MSFT,2017-04-05,64.841
XOM,2017-04-05,80.23
AAPL,2017-04-06,142
JNJ,2017-04-06,123.44
JPM,2017-04-06,85.507
KO,2017-04-06,41.988
MSFT,2017-04-06,65.009
XOM,2017-04-06,80.697
AAPL,2017-04-07,141.68
JNJ,2017-04-07,123.32
JPM,2017-04-07,85.211
KO,2017-04-07,41.928
MSFT,2017-04-07,64.96
XOM,2017-04-07,80.454
AAPL,2017-04-10,141.51
JNJ,2017-04-10,122.74
JPM,2017-04-10,84.914
KO,2017-04-10,42.008
MSFT,2017-04-10,64.812
XOM,2017-04-10,80.813
AAPL,2017-04-11,140
JNJ,2017-04-11,122.62
JPM,2017-04-11,84.766
KO,2017-04-11,41.978
MSFT,2017-04-11,64.762
XOM,2017-04-11,80.532
AAPL,2017-04-12,140.17
JNJ,2017-04-12,123.78
JPM,2017-04-12,84.439
KO,2017-04-12,42.254
MSFT,2017-04-12,64.514
XOM,2017-04-12,80.659
AAPL,2017-04-13,139.42
JNJ,2017-04-13,123.39
JPM,2017-04-13,83.45
KO,2017-04-13,42.106
MSFT,2017-04-13,64.238
XOM,2017-04-13,79.414
AAPL,2017-04-17,140.2
JNJ,2017-04-17,124.1
JPM,2017-04-17,84.894
KO,2017-04-17,42.381
MSFT,2017-04-17,64.762
XOM,2017-04-17,79.307
AAPL,2017-04-18,139.57
JNJ,2017-04-18,120.26
JPM,2017-04-18,84.202
KO,2017-04-18,42.785
MSFT,2017-04-18,64.672
XOM,2017-04-18,78.792
AAPL,2017-04-19,139.05
JNJ,2017-04-19,119.81
JPM,2017-04-19,83.51
KO,2017-04-19,42.539
MSFT,2017-04-19,64.326
XOM,2017-04-19,78.248
AAPL,2017-04-20,140.79
JNJ,2017-04-20,120.3
JPM,2017-04-20,84.588
KO,2017-04-20,42.401
MSFT,2017-04-20,64.782
XOM,2017-04-20,78.753
AAPL,2017-04-21,140.63
JNJ,2017-04-21,120.2
JPM,2017-04-21,83.569
KO,2017-04-21,42.381
MSFT,2017-04-21,65.672
XOM,2017-04-21,78.442
AAPL,2017-04-24,141.98
JNJ,2017-04-24,121.31
JPM,2017-04-24,86.515
KO,2017-04-24,42.588
MSFT,2017-04-24,66.789
XOM,2017-04-24,78.85
AAPL,2017-04-25,142.87
JNJ,2017-04-25,121.84
JPM,2017-04-25,87.267
KO,2017-04-25,42.42
MSFT,2017-04-25,67.175
XOM,2017-04-25,79.453
AAPL,2017-04-26,142.02
JNJ,2017-04-26,121.92
JPM,2017-04-26,87.435
KO,2017-04-26,42.548
MSFT,2017-04-26,67.086
XOM,2017-04-26,79.133
AAPL,2017-04-27,142.13
JNJ,2017-04-27,122.14
JPM,2017-04-27,86.625
KO,2017-04-27,42.322
MSFT,2017-04-27,67.521
XOM,2017-04-27,78.996
AAPL,2017-04-28,141.99
JNJ,2017-04-28,121.88
JPM,2017-04-28,86.021
KO,2017-04-28,42.46
MSFT,2017-04-28,67.709
XOM,2017-04-28,79.375
AAPL,2017-05-01,144.89
JNJ,2017-05-01,121.76
JPM,2017-05-01,86.081
KO,2017-05-01,42.529
MSFT,2017-05-01,68.648
XOM,2017-05-01,79.774
AAPL,2017-05-02,145.81
JNJ,2017-05-02,122.11
JPM,2017-05-02,85.527
KO,2017-05-02,42.696
MSFT,2017-05-02,68.54
XOM,2017-05-02,79.764
AAPL,2017-05-03,145.37
JNJ,2017-05-03,121.75
JPM,2017-05-03,86.021
KO,2017-05-03,42.627
MSFT,2017-05-03,68.322
XOM,2017-05-03,80.396
AAPL,2017-05-04,144.84
JNJ,2017-05-04,122.35
JPM,2017-05-04,86.121
KO,2017-05-04,42.962
MSFT,2017-05-04,68.055
XOM,2017-05-04,79.365
AAPL,2017-05-05,147.24
JNJ,2017-05-05,121.92
JPM,2017-05-05,86.021
KO,2017-05-05,42.991
MSFT,2017-05-05,68.243
XOM,2017-05-05,79.735
AAPL,2017-05-08,151.24
JNJ,2017-05-08,121.67
JPM,2017-05-08,86.121
KO,2017-05-08,43.188
MSFT,2017-05-08,68.184
XOM,2017-05-08,80.581
AAPL,2017-05-09,152.21
JNJ,2017-05-09,121.63
JPM,2017-05-09,85.774
KO,2017-05-09,42.814
MSFT,2017-05-09,68.283
XOM,2017-05-09,80.016
AAPL,2017-05-10,151.49
JNJ,2017-05-10,121.23
JPM,2017-05-10,86.447
KO,2017-05-10,42.873
MSFT,2017-05-10,68.55
XOM,2017-05-10,80.38
AAPL,2017-05-11,152.8
JNJ,2017-05-11,121.62
JPM,2017-05-11,86.179
KO,2017-05-11,42.972
MSFT,2017-05-11,67.709
XOM,2017-05-11,81.067
AAPL,2017-05-12,154.93
